EVE,YEAR,DATE,FLIGHT,FLIGHT_C,V_LENGTH,TIMELINE,BOAT_CODE,WS_CODE,BOAT_LENGTH,BOAT_DIST,BOAT_DROP,DROP_POSITION,BOAT_VIOLATE,BOAT_VIOLATE_DROP
22_E116,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P3,451,412,14AUG22_F02_P3_0412_B02,14AUG22_F02_P3_0412_S01,10.409,6.947,N/A,N/A,violate min dis,no violate drop off
22_E116,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P3,451,412,14AUG22_F02_P3_0412_B03,14AUG22_F02_P3_0412_S04,10.762,9.323,9.323,head,violate min dis,violate drop off
22_E117,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P4,451,11,14AUG22_F02_P4_0011_B01,14AUG22_F02_P4_0011_S03,11.384,1.411,N/A,N/A,violate min dis,no violate drop off
22_E118,2022,14-Aug-22,14AUG22_F03,14AUG22_F03_P1,451,110,14AUG22_F03_P1_0110_B01,14AUG22_F03_P1_0110_S02,9.708,1.848,N/A,N/A,violate min dis,no violate drop off
22_E122,2022,14-Aug-22,14AUG22_F03,14AUG22_F03_P1,451,419,14AUG22_F03_P1_0419_B01,14AUG22_F03_P1_0419_S01,10.513,19.958,19.958,head,no violate min dis,violate drop off
22_E125,2022,14-Aug-22,14AUG22_F03,14AUG22_F03_P2,451,53,14AUG22_F03_P2_0053_B01,14AUG22_F03_P2_0053_S03,8.781,0.591,N/A,N/A,violate min dis,no violate drop off
22_E125,2022,14-Aug-22,14AUG22_F03,14AUG22_F03_P2,451,53,14AUG22_F03_P2_0053_B02,14AUG22_F03_P2_0053_S01,9.291,11.953,11.953,head,no violate min dis,violate drop off
22_E126,2022,14-Aug-22,14AUG22_F03,14AUG22_F03_P2,451,113,14AUG22_F03_P2_0113_B01,14AUG22_F03_P2_0113_S02,9.976,4.973,N/A,N/A,violate min dis,no violate drop off
22_E126,2022,14-Aug-22,14AUG22_F03,14AUG22_F03_P2,451,113,14AUG22_F03_P2_0113_B01,14AUG22_F03_P2_0113_S03,9.976,5.955,N/A,N/A,violate min dis,no violate drop off
22_E127,2022,14-Aug-22,14AUG22_F03,14AUG22_F03_P2,451,141,14AUG22_F03_P2_0141_B01,14AUG22_F03_P2_0141_S02,10.094,3.069,N/A,N/A,violate min dis,no violate drop off
22_E127,2022,14-Aug-22,14AUG22_F03,14AUG22_F03_P2,451,141,14AUG22_F03_P2_0141_B02,14AUG22_F03_P2_0141_S05,10.153,2.258,N/A,N/A,violate min dis,no violate drop off
22_E128,2022,14-Aug-22,14AUG22_F03,14AUG22_F03_P2,451,151,14AUG22_F03_P2_0151_B01,14AUG22_F03_P2_0151_S04,9.645,2.51,N/A,N/A,violate min dis,no violate drop off
22_E128,2022,14-Aug-22,14AUG22_F03,14AUG22_F03_P2,451,151,14AUG22_F03_P2_0151_B02,14AUG22_F03_P2_0151_S01,10.303,5.365,N/A,N/A,violate min dis,no violate drop off
22_E130,2022,14-Aug-22,14AUG22_F03,14AUG22_F03_P2,451,254,14AUG22_F03_P2_0221_B01,14AUG22_F03_P2_0221_S02,9.262,1.793,N/A,N/A,violate min dis,no violate drop off
22_E130,2022,14-Aug-22,14AUG22_F03,14AUG22_F03_P2,451,254,14AUG22_F03_P2_0221_B02,14AUG22_F03_P2_0221_S02,9.878,3.099,N/A,N/A,violate min dis,no violate drop off
22_E131,2022,14-Aug-22,14AUG22_F03,14AUG22_F03_P2,451,310,14AUG22_F03_P2_0310_B01,14AUG22_F03_P2_0310_S03,9.275,2.387,N/A,N/A,violate min dis,no violate drop off
22_E131,2022,14-Aug-22,14AUG22_F03,14AUG22_F03_P2,451,310,14AUG22_F03_P2_0310_B02,14AUG22_F03_P2_0310_S03,8.348,2.938,N/A,N/A,violate min dis,no violate drop off
