"","FLIGHT","YEAR","WEEKDAYS","DATE","V_LENGTH_SECOND","AVE_FOOTAGE_AREA","SUM_WS_FLIGHT","SUM_BOAT_FLIGHT","SUM_SWIM_FLIGHT","SUM_SWIM_VIOLATIONS","SUM_TOUCH_VIOLATIONS","POLICE_PRESENCE","FRE_SWIM_VIOLATION","RATE_SWIM_VIOLATION","RATE_SUM_BOAT","RATE_SUM_WS","RATE_SUM_SWIM","PERCENTAGE_SWIM_VIO","PERCENTAGE_TOUCH","AVE_FOOTAGE_AREA_km","FRE_SWIM_VIOLATION_min","FRE_SWIM_VIOLATION_min_count","FRE_TOUCH_min","SUM_SWIM_FLIGHT_min","SUM_BOAT_FLIGHT_min","SUM_WS_FLIGHT_min","SUM_WS_FLIGHT_min_log","digits","SUM_WS_FLIGHT_min_area","SUM_WS_FLIGHT_min_area_log","RATIO_WS_SWIM_min","RATIO_WS_SWIM_min_log","FRE_SWIM_VIOLATION_min_log","SUM_SWIM_FLIGHT_min_log","SUM_BOAT_FLIGHT_min_log","DAY_YR"
"42","27AUG16112502601","2016","Saturday","2016-08-27",562,38342.819,118,55,84,20,0,"no",0.0355871886120996,0.00052161005689227,0.00143442765645374,0.00307749933566439,0.00219076223894753,0.238095238095238,0,0.038342819,2.14,2,0,8.97,5.87,12.6,2.53369681395743,2,0.00032861433584213,-8.02062572628252,0.71,-0.342490308946776,0.76080582903376,2.1938856760707,1.76985463384001,"2016_Saturday"
"43","27AUG16112502602","2016","Saturday","2016-08-27",315,27957.345,19,8,15,3,0,"no",0.00952380952380952,0.000107306326834683,0.000286150204892489,0.000679606736619661,0.000536531634173417,0.2,0,0.027957345,0.57,1,0,2.86,1.52,3.62,1.28647402583768,2,0.000129482967713851,-8.95196120891981,0.79,-0.23572233352107,-0.562118918153541,1.05082162483176,0.418710334858185,"2016_Saturday"
"44","27AUG16114902701","2016","Saturday","2016-08-27",561,26799.489,13,3,6,1,0,"no",0.0017825311942959,3.73141443107367e-05,0.00011194243293221,0.000485083876039577,0.00022388486586442,0.166666666666667,0,0.026799489,0.11,0,0,0.64,0.32,1.39,0.3293037471426,2,5.1866660591924e-05,-9.86683435201039,0.46,-0.776528789498996,-2.20727491318972,-0.44628710262842,-1.13943428318836,"2016_Saturday"
"45","27AUG16114902702","2016","Saturday","2016-08-27",355,42149.839,13,3,3,1,0,"no",0.0028169014084507,2.37248830298023e-05,7.1174649089407e-05,0.00030842347938743,7.1174649089407e-05,0.333333333333333,0,0.042149839,0.17,0,0,0.51,0.51,2.2,0.78845736036427,2,5.21947426655651e-05,-9.86052878336686,0.23,-1.46967597005894,-1.77195684193188,-0.673344553263766,-0.673344553263766,"2016_Saturday"
"46","27AUG16123502802","2016","Saturday","2016-08-27",293,29173.954,17,2,3,2,1,"no",0.0068259385665529,6.85543001815935e-05,6.85543001815935e-05,0.000582711551543545,0.00010283145027239,0.666666666666667,0.333333333333333,0.029173954,0.41,0,0.2,0.61,0.41,3.48,1.24703229378638,2,0.000119284482315973,-9.03399931011212,0.18,-1.71479842809193,-0.891598119283784,-0.49429632181478,-0.891598119283784,"2016_Saturday"
"47","28AUG16075203003","2016","Sunday","2016-08-28",561,36249.997,77,16,47,10,1,"no",0.017825311942959,0.000275862091795483,0.000441379346872773,0.00212413810682522,0.00129655183143877,0.212765957446809,0.0212765957446809,0.036249997,1.07,1,0.11,5.03,1.71,8.24,2.10900034392138,2,0.000227310363639478,-8.38919423360282,0.61,-0.49429632181478,0.0676586484738149,1.61541998411165,0.536493370514568,"2016_Sunday"
"48","28AUG16075203004","2016","Sunday","2016-08-28",262,35879.66,11,3,9,3,0,"no",0.0114503816793893,8.36128324515896e-05,8.36128324515896e-05,0.000306580385655828,0.000250838497354769,0.333333333333333,0,0.03587966,0.69,1,0,2.06,0.69,2.52,0.924258901523332,2,7.02347792593352e-05,-9.56366693857329,0.82,-0.198450938723838,-0.371063681390832,0.72270598280149,-0.371063681390832,"2016_Sunday"
"49","28AUG16083203101","2016","Sunday","2016-08-28",561,35419.728,44,20,48,10,0,"no",0.017825311942959,0.000282328537362003,0.000564657074724007,0.00124224556439282,0.00135517697933762,0.208333333333333,0,0.035419728,1.07,1,0,5.13,2.14,4.71,1.54968790802833,2,0.000132976741097504,-8.92533632400177,1.09,0.0861776962410524,0.0676586484738149,1.63510565918268,0.76080582903376,"2016_Sunday"
"50","28AUG16083203102","2016","Sunday","2016-08-28",399,29092.232,7,6,14,4,0,"no",0.0100250626566416,0.000137493747471834,0.000206240621207751,0.000240614058075709,0.000481228116151418,0.285714285714286,0,0.029092232,0.6,1,0,2.11,0.9,1.05,0.048790164169432,2,3.60921087113563e-05,-10.2294363117742,2.01,0.698134722070984,-0.510825623765991,0.746687947487975,-0.105360515657826,"2016_Sunday"
"51","28AUG16093003201","2016","Sunday","2016-08-28",560,43162.079,21,17,36,8,0,"no",0.0142857142857143,0.000185347883729141,0.000393864252924425,0.000486538194788995,0.000834065476781135,0.222222222222222,0,0.043162079,0.86,1,0,3.86,1.82,2.25,0.810930216216329,2,5.21290922988209e-05,-9.86178737159711,1.72,0.542324290825362,-0.150822889734584,1.35066718347674,0.598836501088704,"2016_Sunday"
